Genes	First.Protein.Description	Detection	Median.Abundance	Peptides	Precursors
TMSB4X	Thymosin beta-4	0.0298642533936652	584.658680287969	2	2
C4A;C4B	Complement C4-A	1	3208.88861206211	99	130
ALB	Serum albumin	1	89676.0459421523	112	179
TTR	Transthyretin	0.999095022624434	157.23384849812	10	16
MST1	Hepatocyte growth factor-like protein	0.779185520361991	25.0393539170516	7	7
MASP1	Mannan-binding lectin serine protease 1	0.86606334841629	31.3050168603733	4	4
ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	1	910.487291856733	29	40
IGLC7	Immunoglobulin lambda constant 7	0.983710407239819	3616.94440601108	3	3
A2M	Alpha-2-macroglobulin	1	6481.75197594704	85	127
C7	Complement component C7	1	318.64797170832	29	30
APOB	Apolipoprotein B-100	1	1577.51905764156	179	227
KNG1	Kininogen-1	1	2221.91309506849	42	53
APOE	Apolipoprotein E	1	793.750934591028	28	42
C3	Complement C3	1	4659.56891877132	147	212
FN1	Fibronectin	1	576.747527536523	85	109
CFI	Complement factor I	1	441.996659344825	18	22
F10	Coagulation factor X	0.990950226244344	201.013616030026	12	12
PIGR	Polymeric immunoglobulin receptor	0.921266968325792	66.7390348818751	13	13
SERPINC1	Antithrombin-III	1	1538.04863331331	32	51
IGLC7;IGLL5	Immunoglobulin lambda constant 7	0.994570135746606	3877.74027296337	3	4
HRG	Histidine-rich glycoprotein	1	1081.19777884074	23	36
SERPINA3	Alpha-1-antichymotrypsin	1	5653.42081667924	25	38
EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.668778280542986	23.796701483122	2	2
TF	Serotransferrin	1	11694.3541506623	86	134
IGLC2;IGLC3	Immunoglobulin lambda constant 2	0.993665158371041	3894.38510337568	5	7
IGKC	Immunoglobulin kappa constant	1	13698.5098707343	11	17
ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4	1	2694.76995529979	48	59
C8G	Complement component C8 gamma chain	1	165.427330159258	9	12
ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	1	1267.42579019631	31	41
IGHV3-64	Immunoglobulin heavy variable 3-64	0.700452488687783	102.598388645302	2	2
IGHV3-43D	Immunoglobulin heavy variable 3-43D	0.907692307692308	187.231478280901	2	3
IGHV3-23	Immunoglobulin heavy variable 3-23	0.983710407239819	499.003986473671	3	3
IGHV3-21;IGHV3-48;IGHV3-53;IGHV3-7;IGHV3-74	Immunoglobulin heavy variable 3-21	0.790950226244344	2175.63543870972	1	1
IGHV3-64D	Immunoglobulin heavy variable 3-64D	0.990950226244344	909.516173133894	3	3
CP	Ceruloplasmin	1	2425.95821096172	62	103
SELL	L-selectin	0.873303167420815	62.6026038738163	4	4
C4B	Complement C4-B	1	447.237603561418	6	8
C9	Complement component C9	1	1252.53127992145	23	28
